post_date,post_title,final_content,source_file
2005-11-07 14:53:08,Course Selection,"<p>I&#8217;ve got this 4th hour study hall that I&#8217;m going to try and turn into an independent study &#8211; taking classes online through NTC. Should be nice; you get college credit (at roughly $99/c) and HS credit at the same time.</p>

<p>I&#8217;m fairly sure that I&#8217;m going to go for a project management course and a prep course for A+ Certification, which I figure I need to get eventually, so why not get credit for the prep? &#8216;Course, it <em>does</em> cost roughly $300, but I&#8217;m selling my tablet, so I should be able to cover it.</p>

<p>Fun.</p>


",exigraff wp_posts.csv
2005-11-07 22:19:26,High of the Week,"<p>Maybe. I don&#8217;t know, I&#8217;m just really <em>happy</em>. HA!</p>

<p>Piano instruction went well. <em>Really</em> well. And I didn&#8217;t even learn much. [ laughs ] This Sunday is the recital, and we were going over the song that I&#8217;m going to perform, and the instructor told me that it would be a &#8220;good recital for [me]&#8221;, and (as I was about to walk out the door) that &#8220;it&#8217;s fun to work with a good musician.&#8221; ... I&#8217;m floating. That&#8217;s the <em>first</em> compliment that he&#8217;s given me, and, from him, it was a big one. [ happy sigh ] Probably sounds like a little thing, but I don&#8217;t care. I played Monk &#38; Neagle on the way home (thanks Danielle), which is my very-happy CD. [ grins ]</p>

<p>So yeah. I walked in the door after getting home and encountered Fritz. I honestly don&#8217;t think I&#8217;ve seen a more pathetic sight in my <em>life</em>. The poor dog&#8217;s rear half has been shaved and he has a metal cone around his neck. The cone&#8217;s to keep him from chewing/licking on whatever the problem is with on his rear back, but it looks <em>very</em> sad. He&#8217;s a bit depressed right now, lying in the entry. He&#8217;s a dog, by the way. :)</p>


",exigraff wp_posts.csv
2005-11-08 15:43:06,"Decathlon, etc.","<p>An Academic Decathlon regional competition was held in Merrill this morning, first one that I&#8217;ve been to thus far. My mom asked if she could come, but really, why would a parent come to cheer on a student who&#8217;s busily making little marks with a #2 pencil on a ScanTron sheet?</p>

<p>The tests weren&#8217;t that bad, I suppose. For Decathlon tests, anyway. Questions like, ... never mind, I was going to give you an example, but I&#8217;ve blanked out entirely. [ checks online tests ]</p>

<p>Okay, here we are:<br />
1. How many years elapsed before Europeâ€™s population recovered from its steep decline and reached 1347 levels? (answer: 200)<br />
2. A biogenic amine that contains a ringed molecule composed of six carbons and two hydroxyl groups is called a(n)... (answer: catecholamine)</p>

<p>Anyway. I&#8217;m writing this from one of the programming labs back at the HS. I&#8217;m trying to get the school to fund the courses that I&#8217;m going to take through NTC this term, because I <em>really</em> don&#8217;t want to pay for the credits the school will pay for them <em>for</em> me.</p>

<p>And at the moment, the intro to programming class is presenting their homemade <em>PowerPoints</em> (they&#8217;re not presentations, see, they&#8217;re <em>PowerPoints</em>) on themselves. ... Which doesn&#8217;t really have anything to do with the rest of the post, so that&#8217;s probabbly enough said there. [ grins ]</p>

<p>And I need to get my business cards printed sometime after school&#8230; not sure where. I&#8217;ll likely try Press Express (came recommended), but I hear that the UPS Store does a decent job.</p>

<p>The end.</p>


",exigraff wp_posts.csv
2005-11-08 18:19:45,Oddity of the Day,"<p>So. Is it strange that I typed &#8220;upsstore.com&#8221; into the Firefox address bar and ended up with a site telling Jens Jacob to &#8220;give me my money back&#8221; (<a href=""http://www.jensjacob.net/"">jensjacob.net</a>)?</p>


",exigraff wp_posts.csv
2005-11-08 19:52:00,Power in Song,"<p>Wow. I just recommended this music video to a friend of mine, and he pointed out something that I totally missed &#8211; what the song&#8217;s all <em>about</em>. [ shakes head ] Gah, can&#8217;t believe I missed it. I got the pulse of the song easily enough, but there&#8217;s a bit more to it.</p>

<p>Watch it, I guess. Actually, no. Load it, but forget the video the first time and read the lyrics while you listen. And <em>then</em> watch the video.</p>

<p>&#8216;Cause I know I might lose you by taking a chance<br />
<em>But love without pain isnâ€™t really romance&#8230;</em><br />
<a href=""http://royksopp.com"">Royksopp</a></p>

<p>[ <a href=""http://www.musicfactory2.co.uk/Lyrics/Dance/Royksopp/Onlythismoment.html"">lyrics</a> ] [ <a href=""http://www.hosting-media.com/fr/virgin/labels/video/smilrtsp/0094631148125-01_02.ram"">video</a> ]</p>


",exigraff wp_posts.csv
2005-11-10 07:48:37,SAJAX,"<p>Found a cool programming toolkit &#8211; <a href=""http://modernmethod.com/sajax"">SAJAX</a>, used for easily implementing AJAX (and if you&#8217;re not a geek, you won&#8217;t know what that is; use Wikipedia) in web applications. Fun.</p>


",exigraff wp_posts.csv
2005-11-10 16:05:31,Productivity in the Classroom,"<p>Or something. This hour (to be my independent study) was spent setting up the A+ Cert class through NTC (scheduling stuff), polishing off a sermon index admin interface for my church&#8217;s website and&#8230; well, figuring out a way to download stuff from SourceForge without getting caught in a filter somewhere. Fun.</p>


",exigraff wp_posts.csv
2005-11-11 16:02:00,SkillSoft,"<p>My registration at NTC has been approved and my courses duely activated. I&#8217;m taking the A+ Cert course alone, for the moment, as Mrs. Dachel tells me that it would likely be difficult to complete more than the three credits that said course consists of. Although, at the rate that I&#8217;m going at, ... we&#8217;ll see. [ shrugs ]</p>

<p>The course isn&#8217;t bad, actually. It&#8217;s like&#8230; an interactive textbook? So not <em>greatly</em> engaging, but it does its job.</p>

<p>But anyway, the NTC reps were more or less helpful getting everything going. It took a couple days, but I was really impressed by their response time. I approve. ;)</p>


",exigraff wp_posts.csv
2005-11-11 18:44:15,Hannah and her horse,"<p>:) I watched Hannah work with Texas (her horse) this evening, and I am truely impressed. She&#8217;s been training this horse up from nothing, and they&#8217;ve really made a <em>lot</em> of progress. I enjoyed watching Hannah&#8217;s face light up each time he did something right; she&#8217;s really devoted a lot of time into him.</p>

<p>Also interesting is Texas&#8217;s yawn. I can&#8217;t say that I&#8217;ve seen a horse yawn, and the fact that this guy <em>really</em> has a square muzzle makes his yawn really <em>quite</em> interesting. If you haven&#8217;t seen a horse&#8217;s yawn, I recommend it. [ grins ]</p>


",exigraff wp_posts.csv
2005-11-11 22:17:55,allofmp3.com,"<p>... is down. Why? I wanted to download that Mannheim Steamroller album that I bought earlier! [ grumbles ]</p>


",exigraff wp_posts.csv
2005-11-12 16:56:40,Clothing Principal the First,"<p>Avoid wearing a shirt that is looser-fitting than your pants.</p>


",exigraff wp_posts.csv
2005-11-12 20:48:19,Music Videos,"<p>1) Is there anywhere that one can buy and download a music video, legally, without any DRM to worry about? And not iTunes?</p>

<p>2) The video for &#8220;Wake Me Up When September Ends&#8221; is thoroughly depressing. Love the song, though.</p>


",exigraff wp_posts.csv
2005-11-13 19:02:28,Hazards in Travel,"<p>So. I left PGCC at about 12:40 for the Saint Germain Evangelical Free Church where the music recital was to be held, armed with a map courtesy of Google Local. After turning off 17 onto 70, I traveled the 2.8 miles prescribed and found absolutely no church. I went on for another mile or so, then retraced my steps (steps?) until I reached 17 again. Definitely no church there. At that point, I happened to check my gas meter (and a good thing, too), and realized that I had better stop at a gas station before I went out church-seeking any further. I stopped in Eagle River (closest to where I was) at a Marathon (where I came <em>this</em> close to putting deisel in the tank). ... They <em>really</em> need to label the displays on the fill islands more clearly. I ended up watching the &#8220;gas pumped&#8221; display instead of the &#8220;total price&#8221;, and when I realized my mistake, my tank had already been filled with $5.34 worth of gas. Which was good, I suppose, but I only had four dollars on me. The cashier inside was, more or less, understanding about it, and gave me an IOU.</p>

<p>Gah. I opted to then stop for directions, and stopped at a house that was right about where the church should have been. A woman came to the door a minute or two after I knocked, then called her husband over (as &#8220;he [knew] directions better&#8221;). I learned from them that the church was a good five minutes further on, past &#8220;a bar, a restaurant and a go-kart track&#8221;. This was going <em>way</em> off of the map that Google had delivered. But go there I did, and I did find the church (street number 6065 in the middle of the 7000s) in time for the latter two thirds of the recital (I was in the last half, fortunately).</p>

<p>Anyway, I afterwards grabbed a twenty from an ATM at a gas station in Saint Germain, then trekked back to the Marathon in Eagle River to pay back the $1.34 (where the cashier revealed that &#8221;[she] actually didn&#8217;t expect [me] to come back; [she was] impressed&#8221;).</p>

<p>I managed to find my way back home without any undue mishaps. The end.</p>


",exigraff wp_posts.csv
2005-11-15 08:51:55,Hosting Joys,"<p>The company that I use to sell hosting through just applied a massive service upgrade to their hosting packages, at no extra cost! Huzzah!</p>


",exigraff wp_posts.csv
2005-11-15 16:53:17,Public Transportation,"<p>Ended up riding the bus to and from school today. [ frowns ] Any respect that I formerly may have had for the regular driver is <em>gone</em>. If a guy can&#8217;t keep control of a busload of kids, I&#8230; okay, so keeping control of a busload of kids can&#8217;t be easy, but if he doesn&#8217;t&#8230; whatever. I&#8217;m done.</p>

<p>I&#8217;m just glad that I can drive most days. But my younger three siblings&#8230; I&#8217;d definitely drive them in and back, but what with colliding schedules and schools opening and closing at different times&#8230; Well, I dealt with it and so can they. I realize that that sounds cruel and unfeeling, but&#8230; hm, I&#8217;ve worked myself into a moral corner, haven&#8217;t I?</p>",exigraff wp_posts.csv
2005-11-15 21:11:55,First snow. Well...,"<p>Okay, not the <em>first</em> snow, but the first <em>serious</em> snow. Serious enough for me to drive home at 35-40 mph the whole way back from a Council meeting just to avoid sliding into the ditch, anyway. It&#8217;s cold enough that it&#8217;s snowing, but the ground isn&#8217;t so cold so as to <em>keep</em> the snow from melting upon impact. Yech.</p>

<p>Although Kyp (Council treasurer; skiier and hockey&#8217;er) <em>was</em> particularily excited about it. He sat on the edge of the couch through the entire duration of the meeting, wearing his jacket&#8230; Like a little boy who&#8217;s watching&#8230; the first snow come down?</p>


",exigraff wp_posts.csv
2005-11-16 22:30:28,Canceled Plans,"<p>My parents had intended to spend the next couple days elsewhere, mostly because my dad has a business meeting but also because they wanted a few days of together time. Unfortunately, due to several factors (i.e. possibly impending sickness, woodstove uncertainties and others), my mom&#8217;s decided to stay home. I mean, no, it&#8217;s not unfortunate that Mom&#8217;s going to be home, but I&#8217;m just sorry that she had to miss the getaway with Dad. :/ I don&#8217;t like it when my parents have to give up stuff for the kids. I realize that that&#8217;s the way it works, but I feel like&#8230; gah.</p>


",exigraff wp_posts.csv
2005-11-16 22:31:55,Host Troubles,"<p>[name removed] is not coming up to expectations. I have a resellers plan from them, and I swear, the nameservers have been going down regularly for the last couple weeks. I&#8217;m a bit ticked off. I mean, not only is it effecting my blog (which reaches&#8230; what, 2 people?) but it&#8217;s cutting off my business presence which means potentially lost funds. Gaaah.</p>


",exigraff wp_posts.csv
2005-11-19 21:20:14,Workday,"<p>Slaved over a new secret project (<a href=""http://superbucket.com"">superbucket</a>) for a good bit of the day, and worked on siding the garage at the rental house for most of the remainder.</p>

<p>Bruce (piano teacher) called yesterday looking for information on a possible website, and I was able to call him back today. Turns out that his girlfriend (who lives in Maryland, which explains more of why he&#8217;s moving there) makes these hand-made pillows that she wants to advertise and sell online. It&#8217;s interesting: I&#8217;ve done more projects for hobbyists than otherwise, I think. Or maybe not, but I&#8217;ve done at least&#8230; three&#8230;</p>

<p>Just called Calah to see if she&#8217;d be around tomorrow morning for Childrens Ministry musicking, and suffice it to say that I decided she wouldn&#8217;t. :) She was at a birthday party for Niccette (Danielle answered the phone: &#8220;Hello, this is the Princess Party!&#8221;) and&#8230; yeah. I feel bad for calling, cuz she&#8217;s going to give herself another minor guilt trip over not being available for a committment that she had wanted to make. Ah well.</p>


",exigraff wp_posts.csv
2005-11-20 18:09:05,Thoughts for the day,"<ol>
<li>This cancor sore is driving me nuts.</li>
<li>[ sighs ] All I want it the username changed on the hosting account&#8230; Is that so hard?</li>
<li>The site selection part of the ACT info gathering app is broken.</li>
<li>My business site has had visitors from Hong Kong and Spain! :)</li>
<li>I left my planner at school&#8230; gah. Although, this <em>is</em> only the first time&#8230;</li>
<li>And what about Danielle? Hm.</li>
</ol>


",exigraff wp_posts.csv
2005-11-22 15:55:53,Up and... down.,"<p>Am feeling very&#8230; null today. Haven&#8217;t felt that way for a while. You know, the state of mind where nothing really feels. A bit fatalistic, althought that&#8217;s probably just because I don&#8217;t really care what&#8217;s going to happen two minutes from now. Which sounds callous, but&#8230; Never mind, that&#8217;s not going anywhere.</p>


",exigraff wp_posts.csv
2005-11-22 16:01:00,Snow,"<p><img src=""http://exigraff.com/blog/wp-content/old_images/"" /></p>	<p><img src=""http://exigraff.com/blog/wp-content/old_images/"" /><br />
<img src=""http://exigraff.com/blog/wp-content/old_images/6.jpg"" /></p>

<p>The snow fell a few days ago (yes, eight inches at once), and the end result are these (sans the chickens).</p>

<p>Just a sample&#8230; I have more, and probably better ones than the ones shown here. I&#8217;ll get them up later.</p>

<p><em>This is an old entry&#8230; images are broken. Sorry.</em></p>",exigraff wp_posts.csv
2005-11-22 23:52:20,Theories the First and Second,"<p>I just got off the phone from a lengthy conversation with aJ, and I have come out of it with a theory:</p>

<p>People who are depressed would rather stay depressed than anything else. Mostly because of the change involved in moving from depression to&#8230; anything else. There&#8217;s some kind of strange security in knowing where/how you are, and you&#8217;d almost rather stay in that state of mind than have to move your mindset over to something else.</p>

<p>In theory, anyway.</p>

<p>I also came up with this beauty, following some statement quietly spoken over the phone from the other end.</p>

<p>Situation: the person that you&#8217;re talking to speaks something softly, but not <em>too</em> quietly. You then intelligently respond, &#8220;huh?&#8221; They say &#8220;Nothing&#8230;&#8221; and then you answer whatever they had just said that you hadn&#8217;t appeared to hear.</p>

<p>What really happened: the person on the other end says that something just quietly enough so that you, on <em>your</em> end, would be able to hear it but get the impression that the other person hadn&#8217;t meant for you to hear it. Heaven knows why the other individual wanted that. You then, politely, query on what they had said. They push it to the side, intending for you to pursue the topic that they had already semi-indirectly established, knowing that you now know that there&#8217;s something that they want to say.</p>

<p>... Yeah.</p>


",exigraff wp_posts.csv
2005-11-24 09:48:00,Dubious Offer,"<p>An Armin O. sent me an email asking if I was interested in&#8230; well, here&#8217;s the message (sans the last name):<br />
&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;-<br />
Subject: <strong>free domains</strong></p>

<p>Hello,<br />
are you interested in this domain names:<br />
www.url-4-free.com<br />
www.url-4-free.de<br />
www.web-for-free.de<br />
www.url-www.com<br />
www.url-www.de<br />
www.idnt.be<br />
www.t42.be</p>

<p>Best Regards</p>

<p>Armin O.</p>

<p>(One time mail â€“ no spam)&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;-</p>

<p>Okay, yeah, an excellent offer, but&#8230; is this spam, or&#8230; not? The address that it came from was armin@[ the domain of a photographer&#8217;s website; the same as Armin&#8217;s last name], which looks un-spammerly&#8230; but I can&#8217;t imagine that she&#8217;d have just sent <em>me</em> that email. Must have been mass-sent&#8230;. but why?</p>

<p><strong>UPDATE</strong></p>

<p>Okay, she replied to the message that I sent, asking for clarification of her original offer. The reply is as follows:<br />
&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;-<br />
Dear Isaac,</p>

<p>I offers this Domain names to you to the purchase. <br />
Prices and purchase completion over sedo.de</p>

<p>Thanks much&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;-</p>

<p>So yeah, more or less spam. Spam sent by a human as opposed to a bot/virus, but spam none-the-less. Free domains&#8230;</p>

<p>[ shameless plug ]<br />
Speaking of free domains, <a href=""http://ikebowen.com/glyphsolutions.com/domains"">Glyph Solutions</a> is now offering free domains with the purchase of web hosting! Huzzah!<br />
[ end shameless plug ]</p>


",exigraff wp_posts.csv
2005-11-24 20:11:51,Rhody Thanksgiving,"<p>Well, most of the Rhodys (Rhody&#8217;s? Rhodies?). A couple families couldn&#8217;t make it, one because a sister died and the other because&#8230; actually, I&#8217;m not sure.</p>

<p>But in any case, the dinner was excellent and the conversation was good. I&#8217;m enjoying being able to semi-relax a bit.</p>

<p>My mom made several quotable comments, the most notable of which are approximated below:</p>

<ol>
<li>&#8220;How much sugar would you like? Five forks or four?&#8221;</li>
<li>&#8220;Is that a <em>real</em> maple tree growing out of the Christmas cactus behind you?&#8221;</li>
<li>&#8220;No, actually, it&#8217;s not over your head. It&#8217;s in front and to the left.&#8221; (this spoken when assuring Hannah that the topic being discussed was not &#8220;over her head&#8221;, but&#8230; never mind.)</li>
</ol>

<p>The Sarkinnen (I believe that&#8217;s spelled correctly) cousins showed up later on, having had their own Thanksgiving dinner with their various sub-branches of the family tree. An&#8230; <em>active</em> game of Spoons was played, and no one was seriously impaired as a result.</p>

<p>Tomorrow: Thanksgiving with the Bowens.</p>


",exigraff wp_posts.csv
2005-11-26 18:20:54,[ untitled 1 ],"<p>[ shudders ] It&#8217;s <em>cold</em> outside. 20 degrees, okay, but when you&#8217;re standing out there for hours on end without moving <em>around</em> much, it&#8217;s <em>cold</em>. No, I wasn&#8217;t ice fishing (those guys are nuts). After getting back from a movie (Yours, Mine &#38; Ours; it wasn&#8217;t bad), I spent a few hours helping Dad get the two garage doors up for the rental place&#8217;s garage. Not a bad garage, as garages go.</p>

<p>And on an unrelated note, I eagerly await the day when I can switch this building over to a broadband connection. Eeeee.</p>


",exigraff wp_posts.csv
2005-11-26 22:48:20,Dead end,"<p>I&#8217;m creatively dead. [ scowls ] No music, no visual design, my code&#8217;s messy&#8230; Actually, no, my <em>code</em>&#8217;s not bad, but the rest of it&#8217;s all ick.</p>

<p>I&#8217;m working on a project for a client, and I&#8217;m truely getting nowhere. The system&#8217;s set up (shopping site), but the design is&#8230; [ frowns ] not doing so well.</p>

<p>Just in case you wanted to know.</p>


",exigraff wp_posts.csv
2005-11-27 22:41:00,MiB 1,"<p>Hannah and I (plus Mom and Dad, though Mom did leave early on) watched the first half-ish of MiB 1. A bit&#8230; odd. :) Not really Dad&#8217;s kind of movie, though he was kinda facinated. Not like facinated like &#8220;Woah &#8211; cool!&#8221;, more like &#8220;Woah &#8211; ... ... <em>that&#8217;s</em> kinda&#8230; weird&#8230;&#8221;.</p>


",exigraff wp_posts.csv
2005-11-28 07:59:00,[ yawn the second ],"<p>So&#8230; Hannah and I are sitting here in the LGI, after realizing that&#8230; I need to finish this later; Hannah wants to leave.</p>

<p><strong>Continued at 8:52 AM</strong><br />
I&#8217;m writing this from the school library. Driver&#8217;s Ed started at 8:45, due to the two hour delay that I haven&#8217;t told you about yet. So. We got here originally at 6:45, which is when DE would have normally begun. However, there was this little hand-made sign on the door of the LGI saying something to the effect that there&#8217;s a two hour delay for the school district, so you&#8217;re two hours early. Gah. This after I had gotten up at 6:05 to bring Hannah in, driven through the fog (which, incidentally, was the reason for the delay), got to the school, left my keys in the car&#8230; I&#8217;m whining; apologies.</p>

<p>So anyway&#8230; here I am, and I should probably start getting something done.</p>


",exigraff wp_posts.csv
2005-11-28 22:26:35,Thoughtless Approval,"<p>I just gave away my voice&#8230; [ heavy sigh ] Not that serious; I just signed an internet-based petition to&#8230; See, here&#8217;s the thing &#8211; I don&#8217;t even know what I signed. But sign it I did, and I lost my ability to consciously back (or not, depending) the effort that the petition was going for.</p>


",exigraff wp_posts.csv
